YEAR,GEOEMTRIES_KEEP,GEOEMTRIES_NEW,ATTRIBUTES_HIGH_KEEP,ATTRIBUTES_HIGH_NEW,ATTRIBUTES_LOW_KEEP,ATTRIBUTES_LOW_NEW,ATTRIBUTES_CATEG_KEEP,ATTRIBUTES_CATEG_NEW
2002,0,276847,0,276847,0,276847,0,276847
2003,274217,2235,0,276452,24866,251586,273965,2487
2004,275692,449,0,276141,0,276141,266693,9448
2005,275428,731,5080,271079,22415,253744,250499,25660
2006,276784,315,4592,272507,21792,255307,269519,7580
2007,276491,334,2107,274718,21400,255425,247665,29160
2009,97829,178155,1106,274878,265970,10014,0,275984
2009.2,277775,129,133115,144789,277189,715,257043,20861
2010,277950,116,5203,272863,274396,3670,263752,14314
2010.2,277779,146,270860,7065,275440,2485,0,277925
2011,277902,86,6633,271355,276416,1572,276812,1176
2011.2,277676,107,132131,145652,274278,3505,277202,581
2012,277557,151,14093,263615,275302,2406,274648,3060
2012.2,277343,152,144525,132970,276086,1409,276174,1321
2013,277260,115,6993,270382,0,277375,269636,7739
2013.2,277166,138,96535,180769,274007,3297,274377,2927
2014,276848,199,28475,248572,274592,2455,275259,1788
2014.2,276940,143,136643,140440,275214,1869,274978,2105
2015,276761,153,26982,249932,274500,2414,274689,2225
2016,276273,307,2593,273987,219981,56599,271728,4852
2016.2,276682,92,269703,7071,271990,4784,0,276774
2017,276256,212,1649,274819,229654,46814,271497,4971